,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
5393,2021-02-09,32.25,32.849998,32.150002,32.849998,32.018383,8119.0,29.646000020000002,23.95340002,32.150002,0.6999959999999987,0.02177281357556371,5762.0,2357.0,0.4090593543908365
5394,2021-02-10,32.950001,33.0,32.849998,33.0,32.164589,2536.0,29.80100002,24.025400020000003,32.849998,0.15000200000000063,0.004566271206470018,8119.0,-5583.0,-0.6876462618549082
5395,2021-02-11,33.0,33.599998,32.950001,33.5,32.651936,5616.0,29.97100002,24.097600025000002,33.0,0.5,0.015151515151515138,2536.0,3080.0,1.2145110410094637
5396,2021-02-12,33.400002,34.0,33.299999,33.75,32.895599,8016.0,30.13000004,24.17195003,33.5,0.25,0.00746268656716409,5616.0,2400.0,0.4273504273504274
5397,2021-02-15,33.950001,34.700001,33.5,34.450001,33.577881,8023.0,30.26900006,24.251500030000003,33.75,0.7000010000000003,0.020740770370370365,8016.0,7.0,0.0008732534930140368
5398,2021-02-16,34.549999,34.549999,32.700001,34.0,33.139275,6692.0,30.39900006,24.32820003,34.450001,-0.4500010000000003,-0.01306243793722972,8023.0,-1331.0,-0.16589804312601275
5399,2021-02-17,33.799999,33.799999,33.400002,33.799999,32.944336,2162.0,30.53300004,24.402200025000003,34.0,-0.20000100000000032,-0.00588238235294114,6692.0,-4530.0,-0.6769276748356245
5400,2021-02-18,33.900002,34.400002,33.799999,34.099998,33.23674,5722.0,30.659000019999997,24.475700014999997,33.799999,0.2999989999999997,0.008875710321766483,2162.0,3560.0,1.646623496762257
5401,2021-02-19,34.099998,34.099998,33.799999,33.900002,33.041809,3328.0,30.744000060000005,24.54870003,34.099998,-0.19999599999999873,-0.005864985681230839,5722.0,-2394.0,-0.41838518000699054
5402,2021-02-22,34.0,34.0,33.599998,33.75,32.895599,3423.0,30.824000060000003,24.62245003,33.900002,-0.15000200000000063,-0.004424837497059797,3328.0,95.0,0.028545673076923128
5403,2021-02-23,33.75,33.799999,33.299999,33.549999,32.700665,2574.0,30.90500004,24.69460002,33.75,-0.20000100000000032,-0.005925955555555529,3423.0,-849.0,-0.2480280455740579
5404,2021-02-24,33.349998,34.900002,33.25,34.349998,33.480412,14379.0,31.027,24.769850014999996,33.549999,0.7999989999999997,0.02384497835603505,2574.0,11805.0,4.586247086247086
5405,2021-02-25,34.450001,34.75,33.700001,33.75,32.895599,4761.0,31.12799998,24.842600009999998,34.349998,-0.5999979999999994,-0.017467191701146523,14379.0,-9618.0,-0.6688921343626122
5406,2021-02-26,33.650002,33.700001,33.0,33.549999,32.700665,2944.0,31.21899996,24.915850005000003,33.75,-0.20000100000000032,-0.005925955555555529,4761.0,-1817.0,-0.3816425120772947
5407,2021-03-01,33.950001,34.150002,33.849998,34.0,33.139275,5402.0,31.31899996,24.991550000000004,33.549999,0.4500010000000003,0.0134128468975514,2944.0,2458.0,0.8349184782608696
5408,2021-03-02,34.099998,34.400002,33.700001,33.900002,33.041809,38743.0,31.424,25.066050009999998,34.0,-0.09999799999999937,-0.002941117647058844,5402.0,33341.0,6.17197334320622
5409,2021-03-03,33.900002,35.049999,33.900002,35.049999,34.162693,6072.0,31.54599996,25.1453,33.900002,1.149996999999999,0.03392321333786352,38743.0,-32671.0,-0.8432749141780451
5410,2021-03-04,34.900002,34.950001,34.25,34.25,33.382942,15720.0,31.645999959999997,25.220949994999998,35.049999,-0.7999989999999997,-0.02282450849713291,6072.0,9648.0,1.5889328063241108
5411,2021-03-05,34.25,34.450001,34.0,34.150002,33.285477,7016.0,31.74300002,25.29520001,34.25,-0.09999799999999937,-0.0029196496350364365,15720.0,-8704.0,-0.5536895674300255
5412,2021-03-08,34.0,34.400002,34.0,34.0,33.139275,6900.0,31.83500002,25.368700014999998,34.150002,-0.15000200000000063,-0.004392444837924225,7016.0,-116.0,-0.016533637400228063
5413,2021-03-09,34.099998,35.0,34.0,35.0,34.11396,4763.0,31.949000039999998,25.44270001,34.0,1.0,0.02941176470588225,6900.0,-2137.0,-0.30971014492753624
5414,2021-03-10,34.900002,35.0,34.799999,35.0,34.11396,2161.0,32.05700004,25.518000004999998,35.0,0.0,0.0,4763.0,-2602.0,-0.5462943522989712
5415,2021-03-11,35.0,35.0,34.849998,35.0,34.11396,3126.0,32.166000059999995,25.591750004999998,35.0,0.0,0.0,2161.0,965.0,0.4465525219805646
5416,2021-03-12,35.0,35.200001,34.900002,35.200001,34.308895,3127.0,32.27600006,25.661750005,35.0,0.20000100000000032,0.005714314285714339,3126.0,1.0,0.00031989763275741545
5417,2021-03-15,35.200001,35.200001,34.799999,34.799999,33.919022,4355.0,32.39300002,25.73125,35.200001,-0.40000200000000063,-0.011363692858985974,3127.0,1228.0,0.3927086664534698
5418,2021-03-16,35.0,35.5,35.0,35.5,34.601303,5958.0,32.51200004,25.80375,34.799999,0.7000010000000003,0.02011497184238431,4355.0,1603.0,0.3680826636050516
5419,2021-03-17,35.5,35.799999,35.299999,35.5,34.601303,3830.0,32.63000004,25.873500005,35.5,0.0,0.0,5958.0,-2128.0,-0.3571668345082243
5420,2021-03-18,35.700001,35.700001,35.0,35.450001,34.552567,7679.0,32.74600006,25.94375001,35.5,-0.04999899999999968,-0.001408422535211229,3830.0,3849.0,1.0049608355091384
5421,2021-03-19,35.450001,35.849998,35.349998,35.849998,34.942436,5298.0,32.864000000000004,26.015250005,35.450001,0.39999699999999905,0.01128341293981916,7679.0,-2381.0,-0.3100664148977732
5422,2021-03-22,36.0,37.0,35.849998,36.650002,35.722187,20270.0,32.987000040000005,26.09575002,35.849998,0.8000040000000013,0.02231531505245843,5298.0,14972.0,2.8259720649301623
5423,2021-03-23,36.849998,36.849998,35.349998,35.599998,34.698765,8657.0,33.084,26.17465001,36.650002,-1.0500040000000013,-0.028649493661692005,20270.0,-11613.0,-0.572915638875185
5424,2021-03-24,35.599998,36.099998,35.25,36.099998,35.186108,7521.0,33.17299996,26.25635,35.599998,0.5,0.01404494460926653,8657.0,-1136.0,-0.13122328751299528
5425,2021-03-25,36.0,36.0,35.599998,36.0,35.088642,3081.0,33.278999940000006,26.333100000000005,36.099998,-0.09999799999999937,-0.002770027854295143,7521.0,-4440.0,-0.590347028320702
5426,2021-03-26,36.200001,36.200001,35.400002,35.5,34.601303,3933.0,33.372999959999994,26.4051,36.0,-0.5,-0.01388888888888884,3081.0,852.0,0.27653359298928915
5427,2021-03-29,35.700001,35.75,35.200001,35.200001,34.308895,2358.0,33.471,26.474100005,35.5,-0.2999989999999997,-0.00845067605633798,3933.0,-1575.0,-0.4004576659038902
5428,2021-03-30,35.200001,35.200001,34.599998,35.0,34.11396,13432.0,33.56500002,26.545350005,35.200001,-0.20000100000000032,-0.005681846429492987,2358.0,11074.0,4.696352841391009
5429,2021-03-31,35.099998,35.349998,34.400002,34.400002,33.529152,17269.0,33.64800006,26.61335002,35.0,-0.5999979999999994,-0.017142800000000014,13432.0,3837.0,0.2856611078022633
5430,2021-04-01,34.700001,35.0,34.400002,35.0,34.11396,10611.0,33.745000059999995,26.682350015,34.400002,0.5999979999999994,0.017441801311523175,17269.0,-6658.0,-0.385546354739707
5431,2021-04-06,35.0,35.599998,34.799999,35.400002,34.503834,14004.0,33.850000099999995,26.757600025000002,35.0,0.40000200000000063,0.011428628571428678,10611.0,3393.0,0.3197625106022053
5432,2021-04-07,35.0,36.0,34.900002,36.0,35.088642,14375.0,33.9780001,26.836600020000002,35.400002,0.5999979999999994,0.016949095087621657,14004.0,371.0,0.026492430734075922
5433,2021-04-08,36.0,36.400002,35.599998,35.799999,34.893707,4306.0,34.10600008,26.91460001,36.0,-0.20000100000000032,-0.0055555833333333915,14375.0,-10069.0,-0.7004521739130435
5434,2021-04-09,35.799999,36.299999,35.799999,35.799999,34.893707,6381.0,34.223000039999995,26.996000005,35.799999,0.0,0.0,4306.0,2075.0,0.4818857408267534
5435,2021-04-12,35.900002,36.0,35.5,35.799999,34.893707,5749.0,34.34,27.075200004999996,35.799999,0.0,0.0,6381.0,-632.0,-0.09904403698479858
5436,2021-04-13,35.900002,36.799999,35.799999,36.799999,35.868389,4290.0,34.471999960000005,27.160899999999998,35.799999,1.0,0.027932961674105083,5749.0,-1459.0,-0.25378326665507045
5437,2021-04-14,36.900002,38.0,36.700001,38.0,37.038013,12217.0,34.63099998,27.251900004999996,36.799999,1.2000010000000003,0.0326087237121937,4290.0,7927.0,1.8477855477855476
5438,2021-04-15,38.0,38.0,37.099998,37.099998,36.160793,8007.0,34.72899992,27.338,38.0,-0.9000020000000006,-0.023684263157894736,12217.0,-4210.0,-0.3446017843987885
5439,2021-04-16,37.200001,37.200001,36.5,36.5,35.575989,5209.0,34.78899992,27.421100005000003,37.099998,-0.5999979999999994,-0.01617245370201903,8007.0,-2798.0,-0.3494442362932434
5440,2021-04-19,36.799999,36.799999,35.799999,35.799999,34.893707,5467.0,34.846999860000004,27.500799995,36.5,-0.7000010000000003,-0.019178109589041092,5209.0,258.0,0.04952966020349403
5441,2021-04-20,35.900002,36.0,35.0,35.0,34.11396,4183.0,34.89099988,27.57729999,35.799999,-0.7999989999999997,-0.022346341406322412,5467.0,-1284.0,-0.23486372782147436
5442,2021-04-21,34.799999,35.5,33.599998,35.5,34.601303,7270.0,34.95799984,27.656299985,35.0,0.5,0.014285714285714235,4183.0,3087.0,0.7379870906048291
5443,2021-04-22,35.599998,36.299999,35.5,36.299999,35.381046,2834.0,35.026999860000004,27.74149998,35.5,0.7999989999999997,0.022535183098591594,7270.0,-4436.0,-0.6101788170563962
5444,2021-04-23,36.299999,36.299999,35.599998,35.599998,34.698765,3011.0,35.07899982,27.820999964999995,36.299999,-0.7000010000000003,-0.019283774635916684,2834.0,177.0,0.062455892731122065
5445,2021-04-26,35.599998,36.299999,35.599998,35.900002,34.991177,3810.0,35.12699986,27.90189998,35.599998,0.30000400000000127,0.008427079125116865,3011.0,799.0,0.26536034540019937
5446,2021-04-27,36.0,36.200001,35.799999,35.799999,34.893707,6873.0,35.16799984,27.981299975,35.900002,-0.10000300000000095,-0.0027855987306073526,3810.0,3063.0,0.8039370078740158
5447,2021-04-28,38.700001,40.200001,37.200001,38.799999,37.817764,33599.0,35.2549998,28.075299969999996,35.799999,3.0,0.08379888502231525,6873.0,26726.0,3.8885493961879822
5448,2021-04-29,38.700001,39.099998,37.900002,39.099998,38.110161,13981.0,35.35699976,28.17029996,38.799999,0.2999989999999997,0.007731933188967366,33599.0,-19618.0,-0.5838864251912259
5449,2021-04-30,38.299999,38.299999,37.400002,38.0,37.038013,10606.0,35.44099978,28.25979996,39.099998,-1.0999979999999994,-0.028132942615495815,13981.0,-3375.0,-0.24139904155639802
